Date, WU_422, WV_423,WU_mean,WV_mean,WU_anom,WV_anom
3/6/16 0:00,-3.0060081,-4.0699615,-1.66336,-1.028536,-1.3426481,-3.0414255
3/7/16 0:00,-3.8919997,-4.129463,-1.791546,-1.352052,-2.1004537,-2.777411
3/8/16 0:00,-4.918719,-3.075077,-1.81291,-1.654204,-3.105809,-1.420873
3/9/16 0:00,-4.932502,-2.0153236,-1.748817,-1.507706,-3.183685,-0.5076176
3/10/16 0:00,-5.443055,-2.7252355,-1.67862,-1.144514,-3.764435,-1.5807215
3/11/16 0:00,-3.7802446,-3.1750116,-1.550435,-1.294064,-2.2298096,-1.8809476
3/12/16 0:00,-2.6530187,-3.365707,-1.330688,-1.190294,-1.3223307,-2.175413
3/13/16 0:00,-0.28884208,-2.4171817,-1.187242,-1.104837,0.89839992,-1.3123447
3/14/16 0:00,0.9361534,-2.4882355,-1.171982,-0.8972989,2.1081354,-1.5909366
3/15/16 0:00,0.8064995,-0.83153725,-1.159774,-1.062109,1.9662735,0.23057175
3/16/16 0:00,1.0105648,1.7267952,-0.98886,-1.202503,1.9994248,2.9292982
3/17/16 0:00,-0.69971275,0.87566376,-0.8484663,-0.9644437,0.14875355,1.84010746
3/18/16 0:00,-0.6124903,-2.364912,-0.9247672,-1.132306,0.3122769,-1.232606
3/19/16 0:00,-2.014657,-2.8173542,-1.040745,-1.110941,-0.973912,-1.7064132
3/20/16 0:00,-3.4411526,-3.2288818,-1.059057,-0.6226155,-2.3820956,-2.6062663
3/21/16 0:00,-4.034979,-3.9012814,-1.049901,-0.9797038,-2.985078,-2.9215776
3/22/16 0:00,-3.2683601,-2.763239,-1.266595,-1.245231,-2.0017651,-1.518008
3/23/16 0:00,-2.6352959,-2.8095818,-1.681672,-1.388677,-0.9536239,-1.4209048
3/24/16 0:00,1.32706,-0.8083656,-1.996032,-1.815962,3.323092,1.0075964
3/25/16 0:00,1.861811,0.8138772,-1.925835,-1.846482,3.787646,2.6603592
3/26/16 0:00,0.6002712,1.1040974,-1.641996,-1.214711,2.2422672,2.3188084
3/27/16 0:00,1.2641193,0.9111557,-1.51381,-1.147566,2.7779293,2.0587217
3/28/16 0:00,1.4000149,0.3942411,-1.669464,-1.214711,3.0694789,1.6089521
3/29/16 0:00,1.033809,1.9886469,-1.837326,-1.284908,2.871135,3.2735549
3/30/16 0:00,1.8384621,1.9551334,-1.776286,-1.059057,3.6147481,3.0141904
3/31/16 0:00,2.8339996,-0.44197655,-1.623684,-0.912559,4.4576836,0.47058245
4/1/16 0:00,-1.6384258,-2.6559505,-1.645048,-0.7538531,0.0066222,-1.9020974
4/2/16 0:00,-5.412664,-3.7574186,-1.849534,-1.028536,-3.56313,-2.7288826
4/3/16 0:00,-6.1458793,-3.706007,-1.999084,-1.446666,-4.1467953,-2.259341
4/4/16 0:00,-7.1721272,-1.8196337,-1.974668,-1.751869,-5.1974592,-0.0677647
4/5/16 0:00,-5.6259613,-1.2094669,-1.867847,-1.654204,-3.7581143,0.4447371
4/6/16 0:00,-6.9496756,-1.9528122,-1.718297,-1.126202,-5.2313786,-0.8266102
4/7/16 0:00,-6.665882,-0.7329433,-1.403937,-0.7050205,-5.261945,-0.0279228
