profile_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
2.0,9.56299972534,11.1190004349,8.76000022888,8.81000041962,8.53400039673,9.13599967957,10.9689998627,11.3950004578,11.220000267,9.33699989319,10.5920000076,9.61299991608,9.83899974823,10.1400003433,8.33300018311,7.37900018692,9.6639995575,9.11100006104,8.28299999237,8.76000022888,7.60500001907,8.83500003815,9.51299953461,10.2910003662,6.65199995041,4.49300003052,6.22499990463,6.80200004578,4.09100008011,5.82299995422,14.9090003967,7.63000011444,5.64699983597,5.69799995422,4.41800022125,2.58500003815,1.83200001717,2.88700008392,2.23399996758,1.30499994755,2.20900011063,1.43099999428,1.1289999485,1.80700004101,1.55599999428,2.23399996758,3.89100003242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.19999980927,7.02799987793,8.3079996109,9.0860004425,7.25400018692,7.85599994659,7.98199987411,9.18700027466,8.73499965668,7.90700006485,10.3660001755,9.61299991608,14.7589998245,10.0399999619,9.0609998703,10.8680000305,9.48799991608,10.0399999619,9.46300029755,8.71000003815,10.0399999619,9.91499996185,10.2910003662,9.58800029755,8.98600006104,9.48799991608,12.8009996414,10.718000412,10.6680002213,10.4919996262,8.91100025177,8.9359998703,8.9359998703,9.96500015259,10.8179998398,11.220000267,9.76399993896,8.63399982452,11.2700004578,11.1700000763,10.1149997711,6.67700004578,8.9610004425,10.4670000076,10.0649995804,10.9440002441,9.56299972534,7.88100004196,7.50500011444,7.20399999619,7.15399980545,6.45100021362,6.09899997711,10.2159996033,5.84800004959,6.57600021362,5.92399978638,5.09499979019,4.71899986267,4.21700000763,3.58899998665,4.01599979401,5.49700021744,3.41400003433,5.77299976349,4.29199981689,5.52199983597,7.85599994659,5.24599981308,2.50999999046,1.58099997044,2.81100010872,4.14099979401,2.20900011063,4.14099979401,2.05800008774,1.80700004101,1.33000004292,2.10800004005,2.007999897,1.65699994564,1.95799994469,2.4849998951,1.45599997044,1.35500001907,1.50600004196,1.65699994564,1.58099997044,3.23799991608,2.15899991989,1.68200004101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,9.53800010681,12.4499998093,15.5369997025,11.1440000534,13.6800003052,13.4029998779,12.2489995956,12.7010002136,13.5539999008,13.1020002365,13.904999733,12.1479997635,14.4829998016,12.2989997864,14.1059999466,12.4499998093,12.2489995956,11.0439996719,10.9940004349,12.123000145,15.3360004425,13.7299995422,12.5500001907,16.2649993896,10.4169998169,12.6499996185,11.4960002899,9.76399993896,9.86400032043,12.8260002136,10.1400003433,10.8179998398,6.90199995041,7.57999992371,8.78499984741,4.51800012589,3.69000005722,3.51399993896,3.58899998665,2.4849998951,2.13400006294,1.88300001621,1.65699994564,2.73600006104,2.66100001335,1.98300004005,3.21300005913,1.98300004005,1.40600001812,1.07899999619,1.25499999523,1.10399997234,1.55599999428,1.38100004196,1.60599994659,1.30499994755,1.53100001812,1.48099994659,1.60599994659,1.63100004196,0.953999996185,0.70300000906,1.02900004387,0.777999997139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,5.37099981308,4.94500017166,5.89900016785,5.39699983597,4.51800012589,5.59700012207,5.27099990845,4.6939997673,5.72300004959,5.92399978638,7.17899990082,7.85599994659,7.55499982834,10.0399999619,10.265999794,11.0439996719,7.65500020981,13.4280004501,10.2410001755,13.4029998779,7.83099985123,11.998000145,9.61299991608,14.9340000153,11.6210002899,6.97800016403,5.92399978638,10.2910003662,6.80200004578,6.60099983215,7.98199987411,6.42600011826,7.45499992371,5.94899988174,5.69799995422,4.01599979401,3.23799991608,2.93700003624,2.83599996567,1.60599994659,0.929000020027,0.82800000906,0.978999972343,0.879000008106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,4.34200000763,5.52199983597,5.52199983597,6.62599992752,4.59299993515,4.39300012589,4.74399995804,5.79799985886,6.97800016403,6.77699995041,6.90199995041,8.40900039673,12.7259998322,13.3529996872,9.41199970245,10.5170001984,15.8129997253,8.43400001526,8.88500022888,7.55499982834,10.6169996262,13.6040000916,8.60900020599,7.73099994659,7.35400009155,6.82700014114,4.89400005341,6.62599992752,5.67299985886,5.32100009918,3.16300010681,4.71899986267,3.48900008202,2.93700003624,2.20900011063,1.15499997139,0.551999986172,0.628000020981,0.426999986172,0.70300000906,0.879000008106,0.451999992132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,12.2239999771,14.6079998016,10.9940004349,12.5749998093,12.3990001678,14.1059999466,13.3529996872,12.7760000229,12.9270000458,14.6079998016,12.8009996414,10.8680000305,11.7220001221,10.9440002441,12.5249996185,6.95300006866,8.76000022888,6.95300006866,6.47599983215,6.22499990463,3.21300005913,2.4849998951,3.13800001144,1.93299996853,2.46000003815,2.50999999046,2.66100001335,2.68600010872,2.68600010872,2.50999999046,1.55599999428,1.45599997044,1.68200004101,4.44299983978,2.23399996758,0.727999985218,0.426999986172,0.677999973297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,12.123000145,13.3529996872,14.5080003738,12.8509998322,13.0270004272,13.5539999008,13.2530002594,12.4499998093,15.6879997253,12.9519996643,16.5410003662,11.7969999313,14.2569999695,12.2489995956,13.8549995422,8.58399963379,7.57999992371,7.15399980545,7.00299978256,4.21700000763,5.19600009918,5.17100000381,2.86100006104,3.03699994087,3.83999991417,4.49300003052,4.242000103,4.99499988556,6.9279999733,6.07399988174,7.40500020981,4.8189997673,1.73199999332,1.88300001621,1.1289999485,0.929000020027,1.25499999523,1.1289999485,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,11.0690002441,11.6210002899,11.8970003128,11.0690002441,11.345000267,11.7720003128,11.9479999542,13.1520004272,12.1990003586,13.2030000687,10.4670000076,12.2989997864,12.2489995956,13.4790000916,13.0270004272,11.1190004349,10.5170001984,10.7930002213,12.7760000229,12.3240003586,13.3280000687,12.0979995728,10.7930002213,11.6210002899,10.9940004349,8.63399982452,4.56799983978,3.89100003242,5.4470000267,4.16699981689,3.43899989128,3.03699994087,3.48900008202,3.16300010681,2.63499999046,4.21700000763,3.46399998665,5.22100019455,5.92399978638,2.15899991989,3.56399989128,1.80700004101,1.60599994659,1.45599997044,1.25499999523,1.63100004196,1.85699999332,1.50600004196,1.27999997139,2.20900011063,1.33000004292,2.35899996758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,11.8970003128,10.9180002213,11.4960002899,12.2740001678,10.0900001526,13.8299999237,11.6969995499,10.5419998169,14.5329999924,10.4670000076,10.9440002441,11.0690002441,11.7969999313,11.4709997177,11.6969995499,9.56299972534,9.28699970245,9.88899993896,8.73499965668,10.7430000305,8.23299980164,5.49700021744,4.21700000763,4.06599998474,2.23399996758,1.1289999485,1.85699999332,1.30499994755,1.33000004292,1.1289999485,0.929000020027,1.25499999523,1.53100001812,1.23000001907,0.777999997139,1.45599997044,1.83200001717,2.68600010872,2.88700008392,3.23799991608,0.903999984264,0.628000020981,0.677999973297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,12.4499998093,12.1479997635,11.7469997406,13.5539999008,11.6969995499,11.7220001221,11.4960002899,8.55900001526,10.3660001755,9.46300029755,9.33699989319,9.38700008392,8.35799980164,11.7220001221,7.90700006485,9.31200027466,9.16199970245,6.17500019073,4.49300003052,5.22100019455,5.47200012207,1.50600004196,1.98300004005,0.777999997139,1.15499997139,0.978999972343,0.652999997139,0.501999974251,0.903999984264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
